NeighbourhoodID,Neighbourhood_Name,Rate,Case_Count,Low_Edu,Low_Inc,MultiGen_House,Crowded_House,Immigrants,Vis_Minorities
1.0,West Humber-Clairville,12250.84054,4081,21,16,20,17,58,82
2.0,Mount Olive-Silverstone-Jamestown,12283.78952,4048,31,28,15,31,65,87
3.0,Thistletown-Beaumond Heights,11949.80695,1238,25,18,15,16,54,64
4.0,Rexdale-Kipling,8148.922025,858,22,19,10,14,48,52
5.0,Elms-Old Rexdale,10279.18782,972,24,23,13,18,50,67
6.0,Kingsview Village-The Westway,9263.636364,2038,24,25,10,21,52,60
7.0,Willowridge-Martingrove-Richview,6228.5611120000000,1380,19,15,9,11,45,40
8.0,Humber Heights-Westmount,7389.47753,809,18,15,8,9,46,27
9.0,Edenbridge-Humber Valley,5008.046347,778,13,11,6,8,39,21
10.0,Princess-Rosethorn,3510.99448,388,10,7,6,3,30,19
11.0,Eringate-Centennial-West Deane,4341.510652,807,15,10,9,7,44,28
12.0,Markland Wood,3894.258101,411,12,8,7,6,37,13
13.0,Etobicoke West Mall,7638.419986,905,18,18,9,15,51,39
14.0,Islington-City Centre West,5631.75253,2476,12,16,5,11,45,37
15.0,Kingsway South,2664.221767,247,7,5,2,2,21,12
16.0,Stonegate-Queensway,3612.630234,905,13,12,4,7,35,18
17.0,Mimico (includes Humber Bay Shores),5608.879991,1905,12,18,3,8,40,31
18.0,New Toronto,5164.442118,592,17,25,5,9,35,32
19.0,Long Branch,4204.680682,424,15,18,5,9,34,23
20.0,Alderwood,4197.776672,506,20,8,8,7,33,21
21.0,Humber Summit,11493.23454,1427,34,20,19,17,59,66
22.0,Humbermede,13920.87488,2164,29,23,15,23,61,77
23.0,Pelmo Park-Humberlea,11042.71591,1184,25,11,13,10,46,44
24.0,Black Creek,13161.88987,2861,38,33,12,27,59,81
25.0,Glenfield-Jane Heights,12131.44862,3699,39,26,17,23,59,77
26.0,Downsview-Roding-CFB,13003.5376,4558,29,19,11,19,56,57
27.0,York University Heights,11959.55496,3300,22,24,10,21,57,69
28.0,Rustic,7665.2248260000000,762,33,32,9,20,52,60
29.0,Maple Leaf,13678.17229,1383,29,15,11,19,53,44
30.0,Brookhaven-Amesbury,9562.426085,1698,30,25,10,22,55,66
31.0,Yorkdale-Glen Park,10895.70386,1613,29,17,13,12,52,45
32.0,Englemount-Lawrence,9744.323261,2180,16,21,5,17,45,40
33.0,Clanton Park,5330.257407,878,13,15,4,15,46,38
34.0,Bathurst Manor,9777.609778,1552,13,17,8,12,51,35
35.0,Westminster-Branson,10006.08967,2629,12,24,8,18,70,45
36.0,Newtonbrook West,8774.285594000000,2091,12,26,9,17,66,59
37.0,Willowdale West,3123.523855,529,9,27,5,10,56,58
38.0,Lansing-Westgate,3384.063351,547,8,18,4,11,44,43
39.0,Bedford Park-Nortown,4837.321398,1124,11,9,3,7,29,21
40.0,St.Andrew-Windfields,2863.238266,510,10,16,7,7,50,51
41.0,Bridle Path-Sunnybrook-York Mills,2514.569393,233,8,9,5,2,34,30
42.0,Banbury-Don Mills,3282.180899,909,10,14,6,7,49,47
43.0,Victoria Village,7458.595089,1306,20,26,9,15,53,59
44.0,Flemingdon Park,8991.018101,1972,22,35,10,28,64,79
45.0,Parkwoods-Donalda,5421.6348230000000,1887,14,21,7,15,50,55
46.0,Pleasant View,5607.535719,887,17,18,13,9,62,64
47.0,Don Valley Village,4413.884884,1194,11,24,8,16,67,71
48.0,Hillcrest Village,3507.735916,594,13,22,11,6,67,76
49.0,Bayview Woods-Steeles,4926.258172,648,12,18,12,7,59,65
50.0,Newtonbrook East,2764.490278,445,11,27,9,11,64,72
51.0,Willowdale East,2692.627989,1358,7,30,5,14,62,75
52.0,Bayview Village,2547.205085,545,7,24,5,11,60,69
53.0,Henry Farm,7835.654773,1232,9,30,7,23,61,77
54.0,O'Connor-Parkview,4787.148594000000,894,19,23,7,15,37,38
55.0,Thorncliffe Park,9602.994125,2027,21,46,6,42,64,79
56.0,Leaside-Bennington,2519.610174,424,8,7,2,4,20,18
57.0,Broadview North,4156.883207,478,17,23,3,15,42,28
58.0,Old East York,4202.317773,388,17,14,7,9,33,27
59.0,Danforth East York,3667.054715,630,18,14,7,7,33,30
60.0,Woodbine-Lumsden,3649.0781950000000,287,15,15,5,6,28,31
61.0,Taylor-Massey,6682.39495,1048,16,33,6,29,56,67
62.0,East End-Danforth,3746.316823,801,13,19,4,8,28,31
63.0,The Beaches,1710.947281,369,8,9,3,4,20,14
64.0,Woodbine Corridor,2671.238338,335,14,16,5,6,24,27
65.0,Greenwood-Coxwell,3239.231463,467,16,20,7,8,31,39
66.0,Danforth,3351.955307,324,18,14,6,6,30,26
67.0,Playter Estates-Danforth,3498.206048,273,10,14,4,5,23,20
68.0,North Riverdale,2106.411547,251,11,11,4,4,25,24
69.0,Blake-Jones,3313.058108,256,19,25,7,7,31,39
70.0,South Riverdale,3189.1232600000000,889,17,19,7,6,30,42
71.0,Cabbagetown-South St. James Town,4627.645899,540,8,21,2,6,34,29
72.0,Regent Park,5442.932519,588,21,42,3,16,47,70
73.0,Moss Park,5730.030235,1175,10,32,1,8,35,43
74.0,North St. James Town,6956.755305,1295,13,37,3,23,52,67
75.0,Church-Yonge Corridor,3908.742821,1225,4,26,1,9,36,41
76.0,Bay Street Corridor,2620.459743,676,3,38,1,13,41,62
77.0,Waterfront Communities-The Island,3442.416519,2269,3,17,1,7,36,44
78.0,Kensington-Chinatown,4686.5422120000000,841,18,33,6,9,44,60
79.0,University,4495.859077,342,8,22,2,7,30,33
80.0,Palmerston-Little Italy,2813.539708,389,14,14,6,6,30,21
81.0,Trinity-Bellwoods,3479.101232,576,22,15,9,6,36,30
82.0,Niagara,3268.12059,1019,5,14,2,6,30,35
83.0,Dufferin Grove,4743.317777,559,21,18,6,10,38,31
84.0,Little Portugal,4524.712385,704,17,16,6,6,32,28
85.0,South Parkdale,6599.844386,1442,16,31,3,16,43,48
86.0,Roncesvalles,3058.634967,458,14,20,4,9,30,26
87.0,High Park-Swansea,3013.584117000000,721,8,11,4,5,28,19
88.0,High Park North,2937.460518,651,8,17,2,9,35,24
89.0,Runnymede-Bloor West Village,1996.027805,201,12,7,4,3,23,16
90.0,Junction Area,4754.280941,683,14,14,6,7,32,30
91.0,Weston-Pelham Park,8343.845738,926,33,20,10,12,48,38
92.0,Corso Italia-Davenport,6070.897899000000,858,28,13,7,9,43,25
93.0,Dovercourt-Wallace Emerson-Junction,4587.0307170000000,1680,22,17,8,9,40,34
94.0,Wychwood,4139.6613,594,16,17,5,7,33,27
95.0,Annex,3135.032431,957,6,18,2,5,29,25
96.0,Casa Loma,3309.628009,363,5,13,2,4,27,17
97.0,Yonge-St.Clair,2370.689655,297,4,13,1,5,29,21
98.0,Rosedale-Moore Park,2188.978636,458,6,10,2,5,27,18
99.0,Mount Pleasant East,2050.670641,344,7,10,2,5,27,23
100.0,Yonge-Eglinton,2496.403487,295,6,12,3,6,27,27
101.0,Forest Hill South,2236.302646,240,7,11,1,3,26,17
102.0,Forest Hill North,4864.907075,623,8,16,2,14,39,28
103.0,Lawrence Park South,2075.235523,315,8,7,2,4,21,17
104.0,Mount Pleasant West,4393.418302,1303,6,21,1,10,39,34
105.0,Lawrence Park North,2040.117752,298,8,7,2,3,23,21
106.0,Humewood-Cedarvale,3898.364079,560,9,16,2,10,33,29
107.0,Oakwood Village,5950.023574,1262,25,19,6,12,48,43
108.0,Briar Hill-Belgravia,8227.53735,1173,21,17,10,17,60,46
109.0,Caledonia-Fairbank,8799.598192,876,35,14,10,14,53,36
110.0,Keelesdale-Eglinton West,8799.059504,973,39,18,15,13,56,43
111.0,Rockcliffe-Smythe,9017.351434,2006,30,23,10,14,50,46
112.0,Beechborough-Greenbrook,10475.90087,689,31,28,10,19,54,59
113.0,Weston,12249.88884,2204,25,30,8,19,49,61
114.0,Lambton Baby Point,3318.722605,265,14,19,4,7,30,24
115.0,Mount Dennis,9843.301699,1338,26,25,9,20,56,68
116.0,Steeles,4946.594647,1218,24,21,19,12,72,91
117.0,L'Amoreaux,5780.465074000000,2543,22,24,14,14,65,77
118.0,Tam O'Shanter-Sullivan,5574.582817,1530,19,24,12,15,62,75
119.0,Wexford/Maryvale,6970.663037,1946,19,19,12,12,50,55
120.0,Clairlea-Birchmount,7908.390157000000,2134,19,20,12,14,50,61
121.0,Oakridge,8089.563019,1120,21,43,7,25,55,75
122.0,Birchcliffe-Cliffside,4746.310170000000,1058,16,15,7,6,28,26
123.0,Cliffcrest,5735.801694,914,16,18,9,8,37,42
124.0,Kennedy Park,7650.528529000000,1310,21,26,13,15,55,70
125.0,Ionview,4948.317572,675,21,23,11,23,57,73
126.0,Dorset Park,8890.933088,2223,20,22,12,20,60,78
127.0,Bendale,7650.200267,2292,19,23,13,14,55,72
128.0,Agincourt South-Malvern West,5227.93282,1242,20,23,14,12,64,86
129.0,Agincourt North,4843.197197,1410,26,21,21,14,69,91
130.0,Milliken,4335.390637,1152,28,22,21,15,70,97
131.0,Rouge,8069.511356,3752,17,10,22,11,56,81
132.0,Malvern,8896.195826000000,3896,20,20,19,17,61,90
133.0,Centennial Scarborough,5059.122886,676,12,6,11,3,37,44
134.0,Highland Creek,8404.033936,1050,15,11,22,8,56,75
135.0,Morningside,8433.113721,1472,17,24,13,17,55,75
136.0,West Hill,6929.030374000000,1898,22,25,11,12,50,63
137.0,Woburn,8632.326821000000,4617,20,27,14,19,57,76
138.0,Eglinton East,8210.396909000000,1870,22,26,11,23,58,78
139.0,Scarborough Village,11055.96747,1849,23,32,8,22,55,73
140.0,Guildwood,5344.358173,530,13,8,8,4,32,30